76739.123964	0.047141	-0.001031
76732.407925	0.047173	-0.000400
76728.992591	0.043841	-0.001262
76725.449865	0.044460	-0.001759
76725.293232	0.043994	-0.001184
76720.267488	0.047632	-0.000491
76720.121993	0.045857	-0.001672
76713.924355	0.046263	-0.001550
76712.837292	0.044879	-0.000950
76705.086990	0.046063	-0.000744
76700.945109	0.044779	-0.001459
76694.205117	0.048042	-0.001637
76689.899308	0.047379	-0.000856
76684.904876	0.043769	-0.000697
76684.799218	0.046151	-0.001306
76682.405316	0.047738	-0.001315
76678.280154	0.046663	-0.000875
76671.647546	0.045901	-0.000591
76665.633761	0.044929	-0.001459
76661.541113	0.045666	-0.001628
76657.676584	0.048073	-0.000744
76656.025478	0.044882	-0.001006
76651.088333	0.045416	-0.001862
76646.789619	0.045401	-0.001278
76639.552428	0.045254	-0.000812
76635.879255	0.047029	-0.001115
76631.397061	0.045144	-0.001600
76630.868874	0.045966	-0.001500
76625.421407	0.046163	-0.000975
76621.878004	0.045926	-0.000469
76614.952261	0.046335	-0.001412
76612.333656	0.043838	-0.001512
76608.394083	0.046663	-0.000791
76606.593855	0.047482	-0.001006
76600.667436	0.047123	-0.001378
76596.013831	0.048442	-0.000928
76589.743605	0.045560	-0.000897
76586.734864	0.047923	-0.000662
76582.527442	0.043116	-0.001712
76579.870762	0.046041	-0.001281
76575.118470	0.048264	-0.000584
76569.976018	0.046063	-0.001072
76565.174872	0.046004	-0.001578
76562.325550	0.047020	-0.001615
76559.588630	0.048063	-0.000562
76556.162911	0.045016	-0.000834
76549.883224	0.045216	-0.001743
76542.895909	0.048398	-0.001162
76538.585927	0.047073	-0.000831
76533.867735	0.044454	-0.001090
76533.605977	0.046210	-0.001631
76528.760923	0.046741	-0.001125
76524.672625	0.046023	-0.000669
76517.707790	0.046729	-0.000972
76513.986944	0.046163	-0.001487
76511.828314	0.045819	-0.001362
76509.234630	0.046673	-0.000491
76504.494561	0.045829	-0.001309
76499.791531	0.045179	-0.001659
76491.907380	0.045344	-0.001062
76487.735049	0.045291	-0.000628
76484.389849	0.044682	-0.001003
76481.865791	0.047257	-0.001550
76477.948841	0.044104	-0.001378
76474.778260	0.046432	-0.000550
76468.606290	0.045735	-0.001281
76465.324794	0.047817	-0.001706
76460.499528	0.044400	-0.001094
76457.479653	0.046729	-0.000484
76452.153454	0.046154	-0.001022
76447.500695	0.045751	-0.002037
76442.300572	0.044191	-0.000803
76438.679825	0.047392	-0.000634
76434.068225	0.044844	-0.001106
76431.950791	0.047710	-0.001693
76425.767847	0.048282	-0.001065
76421.065956	0.045376	-0.000944
76416.437657	0.046329	-0.001281
76411.784529	0.046523	-0.001837
76411.927249	0.046063	-0.001181
76407.044652	0.045529	-0.000656
76404.377451	0.044825	-0.001103
76395.832879	0.045582	-0.001781
76391.230993	0.045397	-0.001253
76385.876507	0.045226	-0.000466
76383.374636	0.047601	-0.001328
76380.107510	0.044407	-0.001662
76379.490559	0.047126	-0.000766
76371.381023	0.046069	-0.000716
76368.963050	0.043847	-0.001815
76362.071645	0.047098	-0.001459
76361.244722	0.045082	-0.001165
76354.740095	0.045144	-0.000506
76349.868381	0.045566	-0.001456
76343.174709	0.046191	-0.001275
76341.118261	0.046741	-0.000915
76336.645312	0.043282	-0.000525
76333.353584	0.047363	-0.001375
76329.762372	0.046595	-0.001522
76324.173824	0.044741	-0.001081
76319.588064	0.047551	-0.000965
76315.723616	0.044891	-0.001290
76312.107884	0.042972	-0.001784
76309.216503	0.046838	-0.000847
76305.494895	0.045316	-0.000562
76299.197330	0.047445	-0.001375
76294.492643	0.043938	-0.002072
76288.050357	0.046551	-0.000822
76286.144461	0.045388	-0.001000
76281.058951	0.047782	-0.001237
76279.679251	0.045763	-0.001472
76273.501673	0.046516	-0.001187
76270.004558	0.047532	-0.000703
76266.081943	0.047763	-0.001447
76263.600767	0.046701	-0.001406
76258.058302	0.046626	-0.000778
76253.140298	0.045363	-0.000562
76246.777761	0.047191	-0.001594
76242.479433	0.045379	-0.001503
76237.515290	0.045188	-0.000716
76235.803902	0.044672	-0.000834
76230.737833	0.046526	-0.001693
76226.126875	0.047642	-0.001240
76220.989734	0.047570	-0.000559
76217.201483	0.045669	-0.000947
76214.654673	0.046523	-0.001868
76212.174858	0.048260	-0.001312
76207.364748	0.044497	-0.000337
76201.535800	0.045879	-0.000840
76194.728616	0.045491	-0.001950
76189.278451	0.046091	-0.001494
76186.170670	0.044379	-0.000822
76183.782367	0.045476	-0.000753
76181.531882	0.045641	-0.001728
76176.954369	0.047429	-0.001250
76171.070488	0.044966	-0.000759
76167.449895	0.047754	-0.001209
76163.378853	0.045898	-0.001759
76159.258394	0.047392	-0.001240
76156.137145	0.046991	-0.000484
76149.568809	0.045504	-0.001128
76144.889272	0.045410	-0.001931
76140.490288	0.045557	-0.001312
76135.412598	0.046051	-0.000431
76131.669345	0.044579	-0.001284
76129.632811	0.045485	-0.001522
76123.679376	0.044722	-0.001050
76121.310844	0.045126	-0.000403
76115.348044	0.044097	-0.000965
76111.579137	0.045063	-0.001637
76107.922192	0.047382	-0.001128
76103.857958	0.046638	-0.000856
76097.847091	0.046657	-0.001097
76092.236099	0.048051	-0.001450
76087.852959	0.047176	-0.001509
76085.407511	0.046941	-0.000675
76082.174129	0.045613	-0.001237
76079.352701	0.045204	-0.001634
76074.287068	0.047129	-0.001103
76068.773682	0.047001	-0.000403
76064.886742	0.047104	-0.001240
76059.955058	0.045004	-0.001453
76058.555816	0.046126	-0.000940
76053.262932	0.047020	-0.000728
76047.315004	0.046298	-0.001231
76040.376215	0.045838	-0.001475
76036.974386	0.046254	-0.001197
76033.000750	0.046160	-0.000419
76032.130127	0.045541	-0.001375
76026.205391	0.046510	-0.001650
76021.404403	0.046976	-0.000666
76016.201815	0.046635	-0.000316
76012.768253	0.047285	-0.001594
76009.366970	0.045516	-0.001394
76006.731357	0.044663	-0.001075
75999.808775	0.047001	-0.000519
75994.440958	0.044579	-0.001447
75987.433699	0.046735	-0.001512
75987.000244	0.046141	-0.000462
75982.851745	0.047582	-0.000894
75981.116781	0.044644	-0.001640
75975.360961	0.047379	-0.001481
75970.529330	0.045638	-0.000647
75966.145822	0.045213	-0.000744
75962.807973	0.046394	-0.001868
75959.432953	0.046135	-0.001547
75954.681048	0.044535	-0.000766
75948.147534	0.045763	-0.000772
75942.777574	0.046038	-0.001606
75940.081738	0.044738	-0.001528
75935.453871	0.045382	-0.000500
75933.894596	0.048117	-0.000884
75927.074828	0.047160	-0.001412
75922.428817	0.048113	-0.001319
75917.772599	0.047432	-0.000356
75916.344304	0.042813	-0.000797
75911.618533	0.046398	-0.001743
75909.107034	0.046841	-0.001553
75900.702983	0.044957	-0.000559
75895.531972	0.048320	-0.000737
75890.756972	0.046276	-0.001725
75887.491473	0.045404	-0.001137
75886.365636	0.043210	-0.000734
75883.136093	0.047607	-0.000859
75877.821231	0.048098	-0.001478
75871.573532	0.047482	-0.001453
75866.737509	0.045769	-0.000778
75863.195965	0.048198	-0.001015
75861.276713	0.046963	-0.001472
75857.277363	0.046513	-0.001240
75852.855652	0.043438	-0.000528
75846.423705	0.045201	-0.001272
75840.728303	0.044329	-0.001853
75836.558377	0.045660	-0.000812
75833.281082	0.047973	-0.000631
75829.754939	0.043197	-0.001140
75826.892447	0.046985	-0.001640
75820.082009	0.047220	-0.001259
75817.597189	0.043838	-0.000912
75811.588065	0.046923	-0.001269
75809.355148	0.045804	-0.001853
75804.659680	0.045672	-0.000781
75798.594990	0.043357	-0.000641
75793.051266	0.045860	-0.001147
75788.320072	0.044863	-0.001419
75784.229116	0.046770	-0.001234
75783.396230	0.046126	-0.000566
75780.117086	0.046051	-0.001262
75777.105657	0.044650	-0.001747
